iter	Logloss
0	0.590276532
1	0.5177062039
22	0.459425412833	0.421911269444	0.387620355855	0.374862791166	0.353015476
7	0.3427993154
8	0.3301820621
9	0.3211249221
10	0.3141340008
11	0.3083281733112	0.3036313026113	0.2965011047114	0.294584485
15	0.2864477177
16	0.2858574428
17	0.2830616774118	0.2785654092119	0.2740535008220	0.270126613721	0.2368027808
22	0.2339155482
23	0.226941613
24	0.221450675
25	0.2146111945
26	0.2126360597
27	0.2044581006
28	0.1975927754
29	0.192571871
30	0.1864595262
31	0.1841784853
32	0.1785189203
33	0.1735361989
34	0.170719064
35	0.1646415328
36	0.1602858975
37	0.1564694727
38	0.1550799677
3939	0.1576467744040	0.1507440441	41	0.1448415742	42	0.1408869543	43	0.138024144	044	044	0.11445	045	0.130667146	046	0.1253727499
47	0.1206057294
48	0.1180187219
49	0.115354093
5538

